experiment_id,measurement_id,replicate,receptor_concentration_nM,measured_anisotropy_value,outlier
66,3769,1,25600.0,145.0,False
66,3770,2,25600.0,142.0,False
66,3771,3,25600.0,142.0,False
67,3667,1,0.0,47.0,False
67,3668,2,0.0,47.0,False
67,3669,3,0.0,46.0,False
67,3670,1,1.0,48.0,False
67,3671,2,1.0,46.0,False
67,3672,3,1.0,45.0,False
67,3673,1,3.0,43.0,False
67,3674,2,3.0,46.0,False
67,3675,3,3.0,45.0,False
67,3676,1,6.0,45.0,False
67,3677,2,6.0,48.0,False
67,3678,3,6.0,46.0,False
67,3679,1,12.0,47.0,False
67,3680,2,12.0,47.0,False
67,3681,3,12.0,46.0,False
67,3682,1,25.0,46.0,False
67,3683,2,25.0,50.0,False
67,3684,3,25.0,48.0,False
67,3685,1,50.0,48.0,False
67,3686,2,50.0,49.0,False
67,3687,3,50.0,50.0,False
67,3688,1,100.0,52.0,False
67,3689,2,100.0,50.0,False
67,3690,3,100.0,51.0,False
67,3691,1,200.0,57.0,False
67,3692,2,200.0,55.0,False
67,3693,3,200.0,56.0,False
67,3694,1,400.0,59.0,False
67,3695,2,400.0,56.0,False
67,3696,3,400.0,58.0,False
67,3697,1,800.0,64.0,False
67,3698,2,800.0,64.0,False
67,3699,3,800.0,65.0,False
67,3700,1,1600.0,70.0,False
67,3701,2,1600.0,69.0,False
67,3702,3,1600.0,70.0,False
67,3703,1,3200.0,78.0,False
67,3704,2,3200.0,73.0,False
67,3705,3,3200.0,75.0,False
67,3706,1,6400.0,79.0,False
67,3707,2,6400.0,78.0,False
67,3708,3,6400.0,78.0,False
67,3709,1,12800.0,81.0,False
67,3710,2,12800.0,82.0,False
67,3711,3,12800.0,81.0,False
67,3712,1,25600.0,88.0,False
67,3713,2,25600.0,87.0,False
67,3714,3,25600.0,83.0,False
68,3877,1,0.0,43.0,False
68,3878,2,0.0,43.0,False
68,3879,3,0.0,55.0,False
68,3880,1,0.1,44.0,False
68,3881,2,0.1,42.0,False
68,3882,3,0.1,43.0,False
68,3883,1,0.25,45.0,False
68,3884,2,0.25,43.0,False
68,3885,3,0.25,46.0,False
68,3886,1,0.5,44.0,False
68,3887,2,0.5,44.0,False
68,3888,3,0.5,47.0,False
68,3889,1,1.0,49.0,False
68,3890,2,1.0,47.0,False
68,3891,3,1.0,45.0,False
68,3892,1,3.0,49.0,False
68,3893,2,3.0,54.0,False
68,3894,3,3.0,57.0,False
68,3895,1,6.0,63.0,False
68,3896,2,6.0,63.0,False
68,3897,3,6.0,62.0,False
68,3898,1,12.0,82.0,False
68,3899,2,12.0,84.0,False
68,3900,3,12.0,85.0,False
68,3901,1,25.0,106.0,False
68,3902,2,25.0,102.0,False
68,3903,3,25.0,106.0,False
